x,pollutant_concentration,oxygen_concentration
0,6,12
0.1,5.90083,11.9
0.2,5.8033,11.8037
0.3,5.70738,11.7111
0.4,5.61304,11.622
0.5,5.52027,11.5363
0.6,5.42902,11.454
0.7,5.33929,11.3749
0.8,5.25104,11.2989
0.9,5.16425,11.226
1,5.07889,11.156
1.1,4.99494,11.089
1.2,4.91238,11.0247
1.3,4.83119,10.9632
1.4,4.75134,10.9042
1.5,4.6728,10.8479
1.6,4.59557,10.794
1.7,4.51961,10.7425
1.8,4.44491,10.6934
1.9,4.37144,10.6465
2,4.29919,10.6019
2.1,4.22813,10.5594
2.2,4.15824,10.5189
2.3,4.08951,10.4805
2.4,4.02192,10.444
2.5,3.95544,10.4093
2.6,3.89007,10.3766
2.7,3.82577,10.3455
2.8,3.76253,10.3162
2.9,3.70035,10.2886
3,3.63918,10.2626
3.1,3.57903,10.2381
3.2,3.51988,10.2152
3.3,3.4617,10.1937
3.4,3.40448,10.1736
3.5,3.34821,10.155
3.6,3.29287,10.1376
3.7,3.23844,10.1215
3.8,3.18492,10.1067
3.9,3.13227,10.093
4,3.0805,10.0806
4.1,3.02959,10.0692
4.2,2.97951,10.0589
4.3,2.93026,10.0497
4.4,2.88183,10.0415
4.5,2.8342,10.0343
4.6,2.78735,10.028
4.7,2.74128,10.0226
4.8,2.69597,10.0181
4.9,2.65141,10.0145
5,2.60759,10.0117
5.1,2.56449,10.0096
5.2,2.5221,10.0084
5.3,2.48042,10.0078
5.4,2.43942,10.008
5.5,2.3991,10.0088
5.6,2.35944,10.0103
5.7,2.32045,10.0124
5.8,2.28209,10.0152
5.9,2.24437,10.0185
6,2.20728,10.0224
6.1,2.17079,10.0268
6.2,2.13491,10.0317
6.3,2.09963,10.0371
6.4,2.06492,10.043
6.5,2.03079,10.0494
6.6,1.99723,10.0562
6.7,1.96422,10.0634
6.8,1.93175,10.071
6.9,1.89982,10.079
7,1.86842,10.0873
7.1,1.83754,10.0961
7.2,1.80717,10.1051
7.3,1.7773,10.1144
7.4,1.74792,10.1241
7.5,1.71903,10.1341
7.6,1.69062,10.1443
7.7,1.66267,10.1548
7.8,1.63519,10.1655
7.9,1.60816,10.1765
8,1.58158,10.1877
8.1,1.55544,10.199
8.2,1.52973,10.2106
8.3,1.50445,10.2224
8.4,1.47958,10.2344
8.5,1.45513,10.2465
8.6,1.43108,10.2588
8.7,1.40742,10.2712
8.8,1.38416,10.2838
8.9,1.36128,10.2965
9,1.33878,10.3093
9.1,1.31665,10.3222
9.2,1.29489,10.3352
9.3,1.27349,10.3483
